
2023/03/25 (18:37:20) | ===> btop++ v.1.2.13
2023/03/25 (18:37:20) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/03/27 (18:48:28) | ===> btop++ v.1.2.13
2023/03/27 (18:48:28) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/03/27 (18:50:17) | ===> btop++ v.1.2.13
2023/03/27 (18:50:17) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/03/29 (11:34:15) | ===> btop++ v.1.2.13
2023/03/29 (11:34:15) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/03/30 (08:40:09) | ===> btop++ v.1.2.13
2023/03/30 (08:40:09) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/03/30 (09:32:25) | ===> btop++ v.1.2.13
2023/03/30 (09:32:25) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/03/30 (16:40:45) | ===> btop++ v.1.2.13
2023/03/30 (16:40:45) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/04/11 (10:37:15) | ===> btop++ v.1.2.13
2023/04/11 (10:37:15) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/04/13 (15:01:25) | ===> btop++ v.1.2.13
2023/04/13 (15:01:25) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/04/17 (17:40:07) | ===> btop++ v.1.2.13
2023/04/17 (17:40:07) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/05/03 (15:19:34) | ===> btop++ v.1.2.13
2023/05/03 (15:19:34) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/05/03 (15:26:57) | ===> btop++ v.1.2.13
2023/05/03 (15:26:57) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/05/03 (16:58:44) | ===> btop++ v.1.2.13
2023/05/03 (16:58:44) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/05/04 (19:07:54) | ===> btop++ v.1.2.13
2023/05/04 (19:07:54) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/05/06 (10:34:47) | ===> btop++ v.1.2.13
2023/05/06 (10:34:47) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2023/05/06 (17:46:50) | ===> btop++ v.1.2.13
2023/05/06 (17:46:50) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

